iter	RMSE
0	0.04772328956
1	0.04476705776
2	0.04200084697
3	0.0395536996
4	0.03733428992
5	0.03530928729
6	0.03351362839
7	0.03174408878
8	0.03027443586
9	0.02890264303
10	0.02770627671
11	0.02664810382
12	0.02574940781
13	0.02489072405
14	0.02413009434
15	0.02347768531
16	0.02289413952
17	0.02237977738
18	0.02193631537
19	0.02153643595
20	0.02119138351
21	0.02088434091
22	0.02057564773
23	0.02035565762
24	0.0201587983
25	0.01998695444
26	0.01983272984
27	0.01969299261
28	0.0195759475
29	0.01946854102
30	0.01937379459
31	0.01929335107
32	0.01923294114
33	0.01917401588
34	0.01912178242
35	0.01908164895
36	0.01903999302
37	0.01900646605
38	0.01897222534
39	0.01894450988
40	0.01891968582
41	0.01889573511
42	0.01887084369
43	0.01885383606
44	0.01884016156
45	0.0188277983
46	0.01881319135
47	0.01880080416
48	0.01879132054
49	0.01878086644
50	0.01877206336
51	0.01875942816
52	0.01874971505
53	0.01874000316
54	0.01873324273
55	0.0187285298
56	0.01872016431
57	0.01871351996
58	0.01871037059	0.0186658757
60	0.01866144763
61	0.01865659099
62	0.01865070922
63	0.01864817589
64	0.01864394257
65	0.01864142036
66	0.01863871391
67	0.01863572006
68	0.01863403383
69	0.01863156424
70	0.0186294101
71	0.01862587793
72	0.01862332293
73	0.01862097405
74	0.01861970747
75	0.0186156951
76	0.01861398742
77	0.01861000824
78	0.01860777623
79	0.01860644732
80	0.01860456523
81	081	0.0186393882	0.01860209835
83	0.01859673681
84	0.0185930135
85	0.85	0.018630286	0.86	0.018628987	0.87	0.01862818119
88	0.018627289	0.89	0.01862559396
90	0.01862273983
91	0.01862029528
92	0.01861942423
93	0.01861673029
94	0.01861566582
95	0.01861360954
96	0.01861226991
97	0.01861159241
98	0.01861093521
99	0.01860948475
100	0.01860859884
101	0.01860745453
102	0.01860605564
103	0.01860525811
104	0.01860430857
105	0.01860306438
106	0.01860063202
107	0.01859936394
108	0.0185983144
109	0.01859745077
110	0.01859579523
111	0.01859386098
112	0.01859164281
113	0.01859099419
114	0.01858888416
115	0.01858721821
116	0.01858613183
117	0.01858424865
118	0.01858202633
119	0.01858039931
120	0.01857932878
121	0.01857865535
122	0.01857751123
123	0.01857708897
124	0.01857470806
125	0.01857254942
126	0.01857172111
127	0.01857023537
128	0.01856879464
129	0.01856690079
130	0.01856456617
131	0.01856198069
132	0.01855901222
133	0.01855732104
134	0.01855606467
135	0.01855504216
136	0.01855468715
137	0.01855220547
138	0.01855110544
139	0.01855018745
140	0.01854890875
141	0.0185465513
142	0.01854453931
143	0.01854322742
144	0.01854216657
145	0.01854103927
146	0.01853994831
147	0.0185376214
148	0.01853678975
149	0.01853510173
150	0.01853361862
151	0.01853225963
152	0.01853135106
153	0.01852986619
154	0.01852908373
155	0.01852791501
156	0.01852684649
157	0.01852603088
158	0.01852477882
159	0.01852406208
160	0.01852242487
161	0.01852185068
162	0.01852061793
163	0.0185196875
164	0.01851873053
165	0.01851788731
166	0.01851663854
167	0.01851559101
168	0.0185146139
169	0.01851170306
170	0.01850993585
171	0.01850846392
172	0.01850653986
173	0.01850546326
174	0.0185029099
175	0.01850021562
176	0.01849867615
177	0.01849658402
178	0.01849573367
179	0.01849295029
180	0.0184897372
181	0.01848711269
182	0.01848456162
183	0.01848280289
184	0.01847926682
185	0.01847794543
