iter	Passed	Remaining
321	8702	18324
322	8726	18290
323	8757	18271
324	8794	18265
325	8831	18258
326	8861	18238
327	8887	18209
328	8915	18183
329	8950	18172
330	8980	18151
331	9004	18118
332	9032	18092
333	9063	18073
334	9088	18040
335	9111	18005
336	9140	17983
337	9163	17946
338	9186	17911
339	9216	17891
340	9238	17853
341	9255	17807
342	9283	17782
343	9307	17749
344	9337	17727
345	9359	17690
346	9389	17669
347	9410	17630
348	9432	17594
349	9452	17554
350	9478	17526
351	9497	17483
352	9524	17456
353	9544	17417
354	9570	17389
355	9593	17354
356	9615	17318
357	9640	17288
358	9663	17253
359	9684	17216
360	9704	17177
361	9730	17148
362	9758	17125
363	9778	17084
364	9799	17048
365	9821	17012
366	9846	16983
367	9874	16958
368	9896	16924
369	9914	16881
370	9937	16847
371	9956	16808
372	9981	16778
373	9999	16737
374	10024	16706
375	10048	16676
376	10072	16644
377	10098	16617
378	10133	16604
379	10158	16573
380	10175	16531
381	10192	16488
382	10218	16461
383	10246	16437
384	10267	16401
385	10304	16390
386	10342	16382
387	10367	16352
388	10394	16326
389	10430	16313
390	10464	16299
391	10484	16261
392	10504	16225
393	10530	16196
394	10562	16177
395	10590	16153
396	10619	16129
397	10656	16118
398	10687	16098
399	10717	16075
400	10752	16061
401	10783	16041
402	10812	16018
403	10837	15988
404	10860	15955
405	10884	15924
406	10921	15912
407	10946	15883
408	10973	15855
409	11002	15832
410	11039	15820
411	11064	15790
412	11089	15761
413	11116	15734
414	11147	15714
415	11164	15673
416	11206	15667
417	11228	15634
418	11252	15603
419	11279	15576
420	11295	15534
421	11316	15499
422	11336	15464
423	11358	15430
424	11376	15391
425	11396	15356
426	11423	15329
427	11450	15303
428	11485	15286
429	11507	15253
430	11530	15222
431	11552	15188
432	11575	15158
433	11594	15121
434	11624	15097
435	11639	15056
436	11666	15030
437	11689	14999
438	11710	14964
439	11733	14932
440	11759	14906
441	11779	14871
442	11802	14839
443	11825	14809
444	11849	14778
445	11877	14753
446	11903	14725
447	11932	14702
448	11949	14664
449	11973	14633
450	11993	14599
451	12016	14568
452	12039	14537
453	12063	14507
454	12086	14477
455	12111	14448
456	12132	14415
457	12154	14384
458	12182	14358
459	12212	14336
460	12244	14315
461	12292	14315
462	12314	14282
463	12350	14266
464	12394	14260
465	12422	14235
466	12447	14206
467	12469	14174
468	12499	14152
469	12522	14120
470	12555	14101
471	12575	14068
472	12601	14040
473	12627	14013
474	12654	13986
475	12688	13967
476	12705	13931
477	12732	13904
478	12768	13887
479	12800	13867
480	12819	13832
481	12845	13804
482	12865	13771
483	12892	13745
484	12922	13721
485	12941	13687
486	12965	13657
487	12984	13622
488	13016	13602
489	13045	13577
490	13061	13540
491	13086	13511
492	13115	13488
493	13145	13464
494	13162	13428
495	13189	13402
496	13207	13367
497	13226	13332
498	13246	13299
499	13269	13269
500	13293	13240
501	13315	13209
502	13336	13177
503	13355	13143
504	13374	13109
505	13392	13075
506	13415	13045
507	13440	13016
508	13464	12988
509	13490	12961
510	13508	12926
511	13529	12895
512	13556	12869
513	13580	12841
514	13599	12807
515	13627	12782
516	13648	12750
517	13673	12723
518	13696	12694
519	13718	12663
520	13744	12636
521	13766	12605
522	13783	12571
523	13801	12536
524	13824	12507
525	13843	12474
526	13867	12446
527	13893	12419
528	13917	12391
529	13944	12365
530	13963	12333
531	13990	12307
532	14011	12276
533	14032	12245
534	14049	12211
535	14080	12188
536	14095	12153
537	14125	12130
538	14147	12100
539	14175	12075
540	14199	12047
541	14221	12017
542	14241	11986
543	14272	11963
544	14310	11947
545	14341	11924
546	14377	11906
547	14407	11883
548	14440	11863
549	14473	11842
550	14507	11822
551	14555	11813
552	14579	11784
553	14612	11763
554	14635	11734
555	14669	11714
556	14704	11694
557	14738	11674
558	14759	11643
559	14778	11611
560	14797	11579
561	14821	11551
562	14848	11525
563	14869	11495
564	14911	11480
565	14938	11454
566	14962	11426
567	14993	11403
568	15017	11375
569	15043	11348
570	15080	11330
571	15108	11305
572	15130	11275
573	15153	11246
574	15177	11218
575	15199	11188
576	15224	11161
577	15245	11130
578	15271	11104
579	15300	11079
580	15327	11053
581	15347	11023
582	15367	10991
583	15389	10962
584	15408	10931
585	15432	10902
586	15453	10873
587	15468	10838
588	15483	10804
589	15505	10774
590	15521	10741
591	15535	10706
592	15551	10673
593	15569	10641
594	15587	10609
595	15602	10575
596	15625	10547
597	15641	10515
598	15658	10482
599	15672	10448
600	15684	10412
601	15698	10378
602	15713	10345
603	15732	10314
604	15748	10282
605	15765	10249
606	15787	10221
607	15802	10188
608	15817	10155
609	15836	10124
610	15854	10093
611	15869	10061
612	15886	10029
613	15901	9996
614	15917	9964
615	15935	9933
616	15952	9902
617	15974	9874
618	15996	9845
619	16013	9814
620	16030	9783
621	16051	9754
622	16066	9722
623	16082	9690
624	16101	9660
625	16118	9629
626	16134	9598
627	16152	9567
628	16167	9536
629	16184	9505
630	16203	9475
631	16215	9441
632	16233	9411
633	16247	9379
634	16262	9347
635	16278	9316
636	16302	9289
637	16320	9260
638	16339	9230
639	16354	9199
640	16374	9170
641	16391	9140
642	16410	9111
643	16427	9081
644	16447	9052
645	16467	9023
646	16488	8995
647	16510	8968
648	16535	8942
649	16552	8913
650	16577	8887
651	16598	8859
652	16618	8830
653	16639	8803
654	16664	8777
655	16684	8748
656	16700	8719
657	16716	8688
658	16737	8660
659	16757	8632
660	16775	8603
661	16796	8575
662	16819	8549
663	16844	8523
664	16864	8495
665	16885	8468
666	16911	8442
667	16932	8415
668	16952	8387
669	16976	8361
670	16999	8335
671	17017	8306
672	17037	8278
673	17053	8248
674	17069	8218
675	17084	8188
676	17102	8159
677	17126	8133
678	17153	8109
679	17169	8079
680	17188	8051
681	17203	8021
682	17218	7991
683	17236	7963
684	17249	7932
685	17270	7905
686	17287	7876
687	17303	7846
688	17323	7819
689	17338	7789
690	17354	7760
691	17376	7733
692	17391	7704
693	17404	7673
694	17422	7645
695	17442	7618
696	17458	7589
697	17475	7560
698	17491	7532
699	17510	7504
700	17525	7475
701	17543	7447
702	17557	7417
703	17574	7389
704	17591	7361
705	17606	7331
706	17626	7305
707	17646	7278
708	17662	7249
709	17678	7220
710	17691	7191
711	17708	7163
712	17731	7137
713	17746	7108
714	17762	7080
715	17780	7052
716	17796	7024
717	17812	6995
718	17830	6968
719	17848	6941
720	17867	6914
721	17884	6886
722	17899	6857
723	17910	6827
724	17930	6801
725	17951	6774
726	17969	6747
727	17988	6720
728	18005	6693
729	18019	6664
730	18034	6636
731	18051	6608
732	18069	6581
733	18085	6554
734	18105	6527
735	18123	6500
736	18139	6473
737	18157	6446
738	18181	6421
739	18200	6394
740	18222	6369
741	18240	6342
742	18257	6315
743	18282	6290
744	18303	6265
745	18315	6236
746	18332	6209
747	18353	6183
748	18375	6157
749	18391	6130
750	18411	6104
751	18429	6077
752	18445	6050
753	18466	6024
754	18484	5998
755	18498	5970
756	18515	5943
757	18537	5918
758	18555	5891
759	18573	5865
760	18588	5837
761	18605	5811
762	18624	5785
763	18642	5758
764	18659	5732
765	18676	5705
766	18692	5678
767	18706	5651
768	18723	5624
769	18741	5597
770	18755	5570
771	18774	5544
772	18789	5517
773	18806	5491
774	18827	5466
775	18846	5440
776	18862	5413
777	18884	5388
778	18902	5362
779	18918	5335
780	18938	5310
781	18956	5284
782	18971	5257
783	18988	5231
784	19007	5206
785	19022	5179
786	19037	5152
787	19053	5126
788	19072	5100
789	19087	5073
790	19109	5049
791	19125	5022
792	19147	4998
793	19163	4971
794	19178	4945
795	19194	4919
796	19215	4894
797	19233	4868
798	19252	4843
799	19264	4816
800	19281	4790
801	19298	4764
802	19310	4737
803	19326	4711
804	19346	4686
805	19363	4660
806	19376	4634
807	19392	4608
808	19411	4583
809	19425	4556
810	19448	4532
811	19464	4506
812	19480	4480
813	19493	4454
814	19507	4428
815	19523	4402
816	19542	4377
817	19556	4351
818	19569	4324
819	19582	4298
820	19602	4273
821	19621	4248
822	19638	4223
823	19655	4198
824	19674	4173
825	19692	4148
826	19708	4122
827	19723	4097
828	19739	4071
829	19757	4046
830	19774	4021
831	19789	3996
832	19803	3970
833	19820	3945
834	19832	3918
835	19851	3894
836	19866	3868
837	19883	3843
838	19898	3818
839	19914	3793
840	19927	3767
841	19945	3742
842	19962	3717
843	19981	3693
844	19996	3668
845	20012	3642
846	20024	3617
847	20038	3591
848	20052	3566
849	20069	3541
850	20086	3516
851	20104	3492
852	20120	3467
853	20139	3443
854	20162	3419
855	20185	3395
856	20199	3370
857	20214	3345
858	20232	3321
859	20249	3296
860	20267	3271
861	20283	3247
862	20303	3223
863	20322	3198
864	20342	3174
865	20358	3150
866	20376	3125
867	20391	3101
868	20405	3076
869	20425	3052
870	20441	3027
871	20459	3003
872	20474	2978
873	20491	2954
874	20512	2930
875	20527	2905
876	20545	2881
877	20562	2857
878	20583	2833
879	20597	2808
880	20619	2785
881	20635	2760
882	20657	2737
883	20673	2712
884	20692	2688
885	20712	2665
886	20732	2641
887	20751	2617
888	20771	2593
889	20785	2568
890	20803	2544
891	20822	2521
892	20842	2497
893	20859	2473
894	20878	2449
895	20894	2425
896	20914	2401
897	20935	2377
898	20951	2353
899	20968	2329
900	20990	2306
901	21010	2282
902	21027	2258
903	21045	2234
904	21065	2211
905	21081	2187
906	21098	2163
907	21111	2139
908	21128	2115
909	21147	2091
910	21165	2067
911	21183	2043
912	21200	2020
913	21219	1996
914	21231	1972
915	21248	1948
916	21269	1925
917	21285	1901
918	21305	1877
919	21322	1854
920	21337	1830
921	21352	1806
922	21366	1782
923	21381	1758
924	21400	1735
925	21419	1711
926	21443	1688
927	21459	1664
928	21477	1641
929	21491	1617
930	21503	1593
931	21521	1570
932	21539	1546
933	21560	1523
934	21575	1499
935	21594	1476
936	21611	1453
937	21631	1429
938	21647	1406
939	21667	1383
940	21683	1359
941	21698	1336
942	21715	1312
943	21732	1289
944	21751	1265
945	21765	1242
946	21781	1219
947	21801	1195
948	21820	1172
949	21833	1149
950	21847	1125
951	21863	1102
952	21877	1078
953	21892	1055
954	21905	1032
955	21923	1009
956	21938	985
957	21959	962
958	21975	939
959	21991	916
960	22006	893
961	22023	869
962	22044	847
963	22060	823
964	22075	800
965	22091	777
966	22110	754
967	22130	731
968	22151	708
969	22174	685
970	22188	662
971	22206	639
972	22225	616
973	22243	593
974	22256	570
975	22271	547
976	22292	524
977	22315	501
978	22336	479
979	22353	456
980	22370	433
981	22387	410
982	22404	387
983	22419	364
984	22435	341
985	22455	318
986	22468	295
987	22478	273
988	22488	250
989	22506	227
990	22514	204
991	22523	181
992	22533	158
993	22540	136
994	22549	113
995	22558	90
996	22566	67
997	22574	45
998	22582	22
999	22591	0
